Code;Strand;Goal;Goal Short Name;Objective;Core Keywords;Elective Keywords;Core Rubric Level;Frontend Path;Backend Path
PROC11;Process;Learn how to effectively use different research methods.;Investigate ;I can conduct effective and accurate web research.;CBL,  web research;;Progressing;;
PROC12;Process;Learn how to effectively use different research methods.;Investigate ;I can conduct effective interviews with stakeholders.;CBL,  qualitative research,  interviews;;Progressing;;
PROC13;Process;Learn how to effectively use different research methods.;Investigate ;I can develop clear and effective surveys and effectively analyze the results.;CBL,  quantitative research,  surveys;;Progressing;;
PROC14;Process;Learn how to conduct different levels of investigation to identify and develop effective solutions to challenges.;Investigate ;I can identify or develop solutions that are supported by the findings in the Investigation synthesis.;CBL,  synthesis,  solutions;;Progressing;;
PROC15;Process;Learn how to translate their investigation into apps and create a learning backlog.;Investigate ;I can successfully move from a solution statement to a description of an app that will help solve the challenge. ;CBL,  app statement;;Progressing;;
PROC16;Process;Learn how to translate their investigation into apps and create a learning backlog.;Investigate ;I can use my solution statement and domain investigation results to develop applicable app requirements and a prototype. ;CBL,  learning backlog,  app requirements,  prototyping;;Progressing;;
PROC17;Process;Learn how to translate their investigation into apps and create a learning backlog.;Investigate ;I can deconstruct a prototype to develop a learning and develop backlog.;CBL,  development backlog,  learning backlog, ;;Progressing;;
PROC18;Process;Learn how to integrate different software development methodologies with Challenge Based Development.;Investigate ;I understand the basic concepts of project management to effectively guide a project, Identify milestones and effectively monitor and adjust a project’s progression;CBL,  project management,  milestones,  project monitoring;;Progressing;;
PROC19;Process;Learn how to implement their solutions and get feedback from authentic audiences;Act;I can use TestFlight and the App Store to get feedback on their solutions.;CBL,  testflight,  app store,  feedback;;Progressing;;
PROC20;Process;Learn how to implement their solutions and get feedback from authentic audiences;Act;I can use data collected from users to determine if the solution effectively solved the challenge.;CBL,  user feedback,  solution evaluation;;Progressing;;
PROC21;Process;Learn how to implement their solutions and get feedback from authentic audiences;Act;I can use the feedback and data from users to improve the solution.;CBL,  product improvement,  iteration;;Progressing;;
PROC22;Process;Learn how to use ongoing processes  to take charge of learning and improve thinking.;Ongoing Activities;I reflect on a regular basis and use the results to become a better learner and developer.;CBL,  reflection;;Progressing;;
PROC23;Process;Learn how to use ongoing processes  to take charge of learning and improve thinking.;Ongoing Activities;I document my work and use it for continuous improvement.;CBL,  documentation,  continuous improvement;;Progressing;;
PROC24;Process;Learn how to use ongoing processes  to take charge of learning and improve thinking.;Ongoing Activities;I can assess my personal learning and progress  and use the information to plan future learning.;CBL,  personal assessment,  personal improvement;;Progressing;;
PROC25;Process;Learn the fundamentals of Project Management.;Project Management;"I can state and understand the key concepts and principles of project management";;principles of project management;Progressing;;
PROC26;Process;Learn the fundamentals of Project Management.;Project Management;I can initiate a project and establish a project organization;;project organization;;;
PROC27;Process;Learn the fundamentals of Project Management.;Project Management;I can define measurable project objectives.;;project objectives;;;
PROC28;Process;Learn the fundamentals of Project Management.;Project Management;I can work with a Project Sponsor on a scope of work to deliver.;;project sponsor,  project scope;;;
PROC29;Process;Learn the fundamentals of Project Management.;Project Management;"I can create the project schedule and assign resources for effective implementation";;project scheduling;;;
PROC30;Process;Learn the fundamentals of Project Management.;Project Management;I can anticipate project and product risks and plan appropriate responses;;project risks and responses;;;
PROC31;Process;Learn the fundamentals of Project Management.;Project Management;I can apply techniques for monitoring progress and controlling the schedule;;project process,  scheduling;;;
PROC32;Process;Learn the fundamentals of Project Management.;Project Management;I can close down the project effectively and positively.;;project closing;;;
PROC33;Process;Learn the basics of the Scrum framework.;Scrum;I can describe Scrum,  the five core values and the alignment with Agile.;;scrum foundations;;;
PROC34;Process;Learn the basics of the Scrum framework.;Scrum;I can explain the Scrum roles and how they interact during a Sprint.;;scrum roles;;;
PROC35;Process;Learn the basics of the Scrum framework.;Scrum;I can explain the purpose,  importance and process of the five events within Scrum;;scrum events;;;
PROC36;Process;Learn the basics of the Scrum framework.;Scrum;I can define,  and describe the purpose of,  artifacts within Scrum. ;;scrum artifacts;;;
PROC37;Process;Learn the basics of the Scrum framework.;Scrum;I can explain the importance of Product Backlog Refinement and potential outcomes. ;;product backlog;;;
PROF01;Professional Skills;Collaborate effectively and respectfully with diverse individuals and teams.;Collaboration;I can demonstrate the ability to work effectively and respectfully with diverse teams in different team roles.;Diversity;;Progressing;;
PROF02;Professional Skills;Collaborate effectively and respectfully with diverse individuals and teams.;Collaboration;I can facilitate team alignment,  and manage conflicts effectively.;team alignment,  conflict management;;Progressing;;
PROF03;Professional Skills;Collaborate effectively and respectfully with diverse individuals and teams.;Collaboration;I assume shared responsibility for collaborative work,  exercise flexibility to make compromises to achieve team goals,  and value the individual contributions made by each team member.;shared responsibility,  flexibility,  compromise;;Progressing;;
PROF04;Professional Skills;Collaborate effectively and respectfully with diverse individuals and teams.;Collaboration;I have learned to build empathy for others,  including teammates and users;empathy;;Progressing;;
PROF05;Professional Skills;Collaborate effectively and respectfully with diverse individuals and teams.;Collaboration;I can praise/cheer my peers accomplishments as they do for mine.;praise;;Progressing;;
PROF06;Professional Skills;Collaborate effectively and respectfully with diverse individuals and teams.;Collaboration;I can notice when one of my peers need help and I talk to them and offer help.;helping;;Progressing;;
PROF07;Professional Skills;Collaborate effectively and respectfully with diverse individuals and teams.;Collaboration;I can give constructive feedback to my peers,  mentors and teammates.;constructive feedback;;Progressing;;
PROF08;Professional Skills;Communicate in a variety of situations to reach different audiences.;Communication;I can effectively articulate thoughts and ideas using speaking skills in a variety of forms and contexts;situational communication,  speaking skills,  context;;Progressing;;
PROF09;Professional Skills;Communicate in a variety of situations to reach different audiences.;Communication;I can perform Active Listening,  know when it is appropriate to listen and when to speak.;situational communication,  active listening;;Progressing;;
PROF10;Professional Skills;Leverage storytelling to tell personal and professional stories.;Storytelling;I can describe the universal elements of a story and create a story board.;universal story elements,  story board;;Progressing;;
PROF11;Professional Skills;Leverage storytelling to tell personal and professional stories.;Storytelling;I can create a story that elicits an emotional response.;emotional response;;Progressing;;
PROF12;Professional Skills;Leverage storytelling to tell personal and professional stories.;Storytelling;I can demonstrate the meaningful use of imagery,  audio,  and video to create stories.;;story imagery,  story audio,  story video;;;
PROF13;Professional Skills;Leverage storytelling to tell personal and professional stories.;Storytelling;I can develop brands by creating appealing stories through many different media and contexts.;;brand development, ;;;
PROF14;Professional Skills;Prepare and deliver presentations in a variety of contexts.;Presentations;I can create clear and appropriate presentations for particular audiences and contexts.;audience,  context;;Progressing;;
PROF15;Professional Skills;Prepare and deliver presentations in a variety of contexts.;Presentations;I can use appropriate body language and tone of voice when presenting;body language;;Progressing;;
PROF16;Professional Skills;Prepare and deliver presentations in a variety of contexts.;Presentations;I can appropriately receive and handle  critical feedback and questions during presentations;feedback;;Progressing;;
PROF17;Professional Skills;Prepare and deliver presentations in a variety of contexts.;Presentations;I can present all projects in challenge review,  regardless of whether the project is finished or in a working state.;app review,  participation;;Progressing;;
PROF18;Professional Skills;Elaborate,  refine,  analyze and evaluate ideas using a creative workflow from ideation to presentation.; Creative Workflow;I can use a wide range of idea creation techniques to invigorate creativity,  imagination,  and innovative thinking.;;idea creation,  creativity,  imagination,  innovation;;;
PROF19;Professional Skills;Elaborate,  refine,  analyze and evaluate ideas using a creative workflow from ideation to presentation.;Creative Workflow;I can adapt perceived failure or limitation into an opportunity to succeed through creative and innovative thinking,  iteration,  testing and feedback.;failure,  limitations,  iteration;;Progressing;;
PROF20;Professional Skills;Empowered to improve your abilities in order to be prepared for your professional future.;Employability;I can set and manage personal goals according to resources available;personal goals;;Progressing;;
PROF21;Professional Skills;Empowered to improve your abilities in order to be prepared for your professional future.;Employability;I can manage my own time in order to accomplish the goals that I have for the day.;tiem management;;Progressing;;
PROF22;Professional Skills;Empowered to improve your abilities in order to be prepared for your professional future.;Employability;I can demonstrate originality and inventiveness while understanding the real world limits to adopt new ideas;originality,  real world limits;;Progressing;;
PROF23;Professional Skills;Empowered to improve your abilities in order to be prepared for your professional future.;Employability;I can create an effective Visual Portfolio using different formats and platforms to showcase my best projects. ;portfolio,  showcase;;Progressing;;
PROF24;Professional Skills;Empowered to improve your abilities in order to be prepared for your professional future.;Employability;I can create an effective Curriculum Vitae using different formats and platforms,  according to the professional objective and local standards.;Curriculum vitae;;Progressing;;
PROF25;Professional Skills;Empowered to improve your abilities in order to be prepared for your professional future.;Employability;I can develop a network of professional contacts.;Professional networking;;Progressing;;
PROF26;Professional Skills;Develop a commitment to, and strategies for lifelong learning and professional growth. ;Personal Growth;I can evaluate self-weaknesses,  strengths,  opportunities,  threats,  abilities,  capabilities and attitudes.;Self evaluation;;Progressing;;
PROF27;Professional Skills;Develop a commitment to, and strategies for lifelong learning and professional growth. ;Personal Growth;I can understand,  negotiate and balance diverse views and beliefs to reach workable solutions in diverse environments.;Diverse views,  diverse environments;;Progressing;;
PROF28;Professional Skills;Develop a commitment to, and strategies for lifelong learning and professional growth. ;Personal Growth;I have learned to listen and evaluate formal and informal feedback or critique and respond or act appropriately.;form feedback,  informal feedback;;Progressing;;
PROF29;Professional Skills;Develop a commitment to, and strategies for lifelong learning and professional growth. ;Personal Growth;I stay curious about new things and keep looking for new challenges inside the projects that I’m in.;curiosity,  innovation;;Progressing;;
TEC001;Technical;Learn how to work with Developer Tools;Developer Tools;I know how to manage App Localization using Xcode.;"Localization;";;Progressing;Proficient ;Exemplary 
TEC002;Technical;Learn how to work with Developer Tools;Developer Tools;I can display and manage connections to Bluetooth peripherals with PlaygroundBluetooth;;"Peripheral Connection; Peripheral Display; bluetooth;";;-;-
TEC003;Technical;Learn how to work with Developer Tools;Developer Tools;I can create interactive learning experiences for the Swift Playgrounds app with Swift Playground;"Playground Setup;";"Annotations; Glossaries; Hints; Subscriptions;";Progressing;-;-
TEC004;Technical;Learn how to work with Developer Tools;Developer Tools;I can implement App Testing using Xcode;;"XCTest; XCTestCase; Test Assertions; UI Tests;";;Beginning ;Proficient 
TEC005;Technical;Learn how to work with Developer Tools;Developer Tools;I know how to handle App Distribution using Xcode;"TestFlight; App Distribution;";;Progressing;Proficient ;Exemplary 
TEC006;Technical;Learn how to work with Developer Tools;Developer Tools;I know how to manage App Performance using Xcode;;"Metrics organizer; Instruments;";;Beginning ;Progressing 
TEC007;Technical;Learn how to work with Developer Tools;Developer Tools;I can share playground data,  manage live views,  and control the execution of a playground with Playground Support;;"Playground Pages; Live Views; Page-View Communication; Data Persistence; ";;-;-
TEC008;Technical;Learn how to work with Developer Tools;Developer Tools;I know how to manage App Debugging in Xcode;"Simulator;";"App on a Device;";Progressing;Proficient ;Proficient 
TEC009;Technical;Learn how to work with Developer Tools;Developer Tools;I can create extensions to add commands to the Xcode source editor with XcodeKit;;"First Steps; Editor Commands; Source Text;";;-;Proficient 
TEC010;Technical;Learn how to work with Developer Tools;Developer Tools;I can control Project Configuration in Xcode;;"App Capabilities; Package Dependencies;";;Progressing ;Proficient 
TEC011;Technical;Learn how to work with Developer Tools;Developer Tools;I can manage Code Sharing in Xcode;;"Code Sharing; Swift package;";;Beginning ;Proficient 
TEC012;Technical;Learn how to work with Developer Tools;Developer Tools;I know how to create and run unit tests,  performance tests,  and UI tests for my Xcode project with XCTest;;"Test Cases and Test Methods; Test Assertions; Asynchronous Tests; UI Tests; Performance Tests; Activities and Attachments; Test Execution; Structures; Classes;";;Beginning ;Proficient 
TEC013;Technical;Learn how to work with Developer Tools;Developer Tools;I can use specialized tools to trace different aspects of my apps,  processes,  and devices over time with Instruments;;"CPU and thread; Performance; Memory; Energy I/O; Networking;";;Beginning ;Progressing 
TEC014;Technical;Learn how to work with Developer Tools;Developer Tools;I know how to Create an App Project using Xcode;"App templates; App project;";;Progressing;Proficient ;Proficient 
TEC015;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can integrate views into existing apps,  and embed AppKit,  UIKit,  and WatchKit views and controllers into SwiftUI view hierarchies with SwiftUI;;"AppKit Hosting; UIKit Hosting; WatchKit Hosting;";;Proficient ;Proficient 
TEC016;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to handle Resource Management with UIKit;"UIStoryboard; UIStoryboardSegue;";"UIImageAsset; UINib;";Progressing;Proficient ;Proficient 
TEC017;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can define the entry point and top-level organization of my app with SwiftUI;;"App; Scene; WindowGroup; DocumentGroup; Settings; Widgets; System Actions;";;Beginning ;Proficient 
TEC018;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to implement Text Views with UIKit;"UILabel; UITextField;";"UITextView;";Progressing;Proficient ;Proficient 
TEC019;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to combine views in stacks,  generate groups and lists of views dynamically,  and define view presentations and hierarchy with SwiftUI;"HStack; VStack; ZStack; List;";"LazyHStack; LazyVStack; LazyHGrid; LazyVGrid; GridItem; ForEach; ScrollView; Form; Group; GroupBox; Section; Spacer; Divider; NavigationView; TabView; Alert; ActionSheet; EmptyView; AnyView; TupleView;";Progressing;Exemplary ;Progressing 
TEC020;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to control and respond to the flow of data and changes within my app’s models with SwiftUI;"Binding; State;";"ObservedObject; EnvironmentObject; StateObject; ObservableObject; FocusedBinding; FocusedValue; Environment; PreferenceKey; AppStorage; SceneStorage; FetchRequest; Transaction;";Progressing;Exemplary ;Exemplary 
TEC021;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can work with Documents,  Data,  and Pasteboard with UIKit;;"UIDocument; UIDataSourceModelAssociation; UIPasteboard;";;-;Proficient 
TEC022;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to handle Animation and Haptics with UIKit;;"Property-Based Animations; UIKit Dynamics; Motion Effects; Haptic Feedback;";;Beginning ;-
TEC023;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to use Windows and Screens with UIKit;;"UIWindow; UIPopoverPresentationController; UIAlertController; UIAlertAction; UIScreen; UIScreenMode;";;Beginning ;Proficient 
TEC024;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to handle View Fundamentals with UIKit;"UIView;";;Progressing;Progressing ;Progressing 
TEC025;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can work with View Layout with UIKit;"Constraints;";"Layout Guides; Anchors;";Progressing;Beginning ;Progressing 
TEC026;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can enhance my views with colors,  shapes,  and shadows,  and customize animated transitions between view states with SwiftUI;"Color;";"Shape; Animation; AnimatableModifier; Rectangle; Circle; RoundedRectangle; Ellipse; Path; ScaledShape; Gradient;  TransformedShape; BackgroundStyle; GeometryProxy; GeometryReader; GeometryEffect; Angle; Anchor; ";Progressing;Proficient ;-
TEC027;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can generate dynamic,  interactive previews of my custom views with SwiftUI;;"PreviewProvider; PreviewDevice; PreviewPlatform; PreviewLayout; PreviewContext;";;Progressing ;-
TEC028;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can present content onscreen and handle user interactions with SwiftUI;"View; Text; TextField; Image; Button; NavigationLink;";"SecureText; TextEditor; SignInWithAppleButton; Menu; Toggle; Picker; Slider; Stepper; ColorPicker; ProgressView; Gauge; Label; Link;";Progressing;Proficient ;-
TEC029;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to manage Content View Controllers with UIKit;"UIViewController; UITableViewController;";"UICollectionViewController; UIContentContainer;";Progressing;Progressing ;-
TEC030;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can use Visual Effect classes with UIKit;;"UIVisualEffect; UIVibrancyEffect; UIBlurEffect;";;Progressing ;-
TEC031;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can perform lightweight 2D rendering with high-fidelity output with Core Graphics;;"Geometric Data Types; 2D Drawing; Colors and Fonts; Working with PDF Documents; Utility and Support Classes; Services;";;-;-
TEC032;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can apply Images and Video with UIKit;;"UIImagePickerController; UIVideoEditorController;";;Progressing ;Progressing 
TEC033;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can manage Fonts with UIKit;;"UIFontPickerViewController; ";;Beginning ;Progressing 
TEC034;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can manage Appearance Customization with UIKit;;"Dark Mode; Navigation Bar Appearance; Toolbar Appearance; Tab Bar Appearance; Shared Appearance;";;Progressing ;Progressing 
TEC035;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to manage Interface Restoration with UIKit;;"Interface Restoration;";;-;Progressing 
TEC036;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to use Search Fields with UIKit;;"UISearchTextField; UISearchToken;";;Progressing ;Proficient 
TEC037;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to use Activities Interface with UIKit;;"UIActivityViewController; UIActivityItemProvider;";;Beginning ;Progressing 
TEC038;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to implement Inter-Process Communication with UIKit;;"Universal Links; UIActivity; UIActivityViewController;";;Beginning ;Proficient 
TEC039;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can implement Color Picker with UIKit;;"Color Picker;";;-;-
TEC040;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to handle User Interactions with UIKit;;"UIResponder; UIEvent; UITouch; UIPress; UIHoverGestureRecognizer; UILongPressGestureRecognizer; UIPanGestureRecognizer; UIPinchGestureRecognizer; UIRotationGestureRecognizer; UIScreenEdgePanGestureRecognizer; UISwipeGestureRecognizer; UITapGestureRecognizer; Custom Gestures; 3D Touch Interactions; UIPointerInteraction; UIPencilInteraction; Focus-based Navigation; Menus and Shortcuts;";;Progressing ;-
TEC041;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can use Content Views with UIKit;"UIImageView;";"UIActivityIndicatorView; UIPickerView; UIProgressView;";Progressing;Beginning ;-
TEC042;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can manage App and Environment with UIKit;"App’s Life Cycle;";"UIApplication; UIDevice; UIStatusBarManager; UITraitCollection; UIGuidedAccessRestrictionDelegate;";Progressing;Proficient ;Proficient 
TEC043;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can implement Controls with UIKit;"UIButton;";"UIColorWell; UIDatePicker; UIPageControl; UISegmentedControl; UISlider;  UIStepper; UISwitch;";Progressing;Proficient ;Proficient 
TEC044;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to handle Interface Orientation with UIKit;"Interface Orientation; Portrait; Landscape;";;Progressing;Proficient ;Proficient 
TEC045;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can define interactions from taps,  clicks,  and swipes to fine-grained gestures with SwiftUI;;"TapGesture; LongPressGesture; DragGesture; RotationGesture;  MagnificationGesture; SequenceGesture; SimultaneousGesture; Gesture; AnyGesture; GestureState; GestureMask;";;Proficient ;Proficient 
TEC046;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can handle Container View Controllers with UIKit;"UITabBarController;";"UISplitViewController; UINavigationBar; UIPageViewController; UINavigationController; UINavigationItem;";Progressing;Proficient ;-
TEC047;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can manage Graphics,  Drawing,  and Printing with UIKit;"UIImage; UIColor;";"Image Creation; Photo Album; PDF Creation; Drawing Contexts; UIBezierPath; UIPrintInteractionController; ";Progressing;Proficient ;-
TEC048;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can handle Container Views with UIKit;"UITableView;";"UICollectionView; UIStackView; UIScrollView;";Progressing;Proficient ;Proficient 
TEC049;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to work with Bars with UIKit;"UITabBar; UITabBarItem;";"UIBarItem; UIBarButtonItem; UINavigationBar; UISearchBar; UIToolbar;";Progressing;Proficient ;-
TEC050;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to work with Nested types in Swift;;"Nested Types;";;Progressing ;Proficient 
TEC051;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to use Automatic Reference Counting in Swift;;"ARC; strong; weak; ";;Progressing ;Proficient 
TEC052;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can differentiate assertions and preconditions in Swift;;"assert; precondition;";;Progressing ;Proficient 
TEC053;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to work with Protocols in Swift;;"protocol; delegate; ";;Progressing ;Proficient 
TEC054;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can implement Opaque types in Swift;;"Opaque Type;";;Progressing ;Proficient 
TEC055;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can use Conditional Statements in Swift;"if/else; switch/case;  guard; Comparison Operators;";"Ternary Conditional Operator; Logical Operators; Control Transfer Statements; Checking API Availability;";Progressing;Exemplary ;Exemplary 
TEC056;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can apply Swift Basic Concepts and use basic Swift elements;"Constants and Variables; Comments;";"Type Safety and Type Inference; Type Aliases; Tuples;";Progressing;Exemplary ;Exemplary 
TEC057;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can successfully manage Functions in Swift;"func; Parameters and return value;";"Argument Labels and Parameter Names;";Progressing;Exemplary ;Exemplary 
TEC058;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to work with loops in Swift;"For-In; ";"While; Repeat-While;";Progressing;Exemplary ;Exemplary 
TEC059;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can manage Initialization and Deinitialization in Swift;;"init; Default Initializers; Customizing Initialization; Failable Initializers; deinit; ";;Proficient ;Exemplary 
TEC060;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to work with Swift Numbers and Boolean;" Int; Double; Numeric Literals; Numeric Type Conversion; Bool;";;Progressing;Exemplary ;Exemplary 
TEC061;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can use Strings and Characters in Swift;"String Literals; Empty String; String Interpolation;";"String Mutability; Strings as Value Types; Working with Characters; Unicode; Counting Characters; Modifying a String; Substrings;";Progressing;Exemplary ;Exemplary 
TEC062;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to work with Access Control in Swift;;"public; internal; private; fileprivate;";;Proficient ;Exemplary 
TEC063;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can use Advanced Operators in Swift;;"Bitwise Operators; Overflow Operators; Precedence and Associativity; Operator Methods; Custom Operators;";;Beginning ;Proficient 
TEC064;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to implement Type Casting in Swift;;"Checking Type; Downcasting; ";;Proficient ;Exemplary 
TEC065;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can implement Structures and Classes in Swift;"struct; class;";"value type vs reference type;";Progressing;Exemplary ;Exemplary 
TEC066;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can use Extensions in Swift;;"extension;";;Proficient ;Exemplary 
TEC067;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to work with Generics in Swift;;"Generic Functions; Generic Types; Associated Types; Generic Subscripts;  ";;Progressing ;Proficient 
TEC068;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can implement design patterns in Swift;"MVC;";"MVVM;";Progressing;Progressing ;Proficient 
TEC069;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to work with enumeration in Swift;"enum;";" Associated Values;  Raw Values;";Progressing;Exemplary ;Exemplary 
TEC070;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can successfully use Inheritance in Swift;"Base Class; Subclassing;";"Overriding; ";Progressing;Exemplary ;Exemplary 
TEC071;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can successfully handle Errors in Swift;;"Error; throw; do/catch; try; ";;Proficient ;Exemplary 
TEC072;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can effectively use Collection Types in Swift;"Arrays; Dictionaries;";"Sets;";Progressing;Exemplary ;Exemplary 
TEC073;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to use Methods in Swift;"Instance Methods;";"Type Methods;";Progressing;Exemplary ;Exemplary 
TEC074;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to use Properties in Swift;"Stored Properties;";"Computed Properties; Property Observers; Property Wrappers; Global and Local Variables; Type Properties;";Progressing;Proficient ;Exemplary 
TEC075;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can apply subscripts in Swift;;"subscript; Subscript Options; Type Subscripts;";;-;Proficient 
TEC076;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can work with Closures in Swift;;"Closure Expressions; Trailing Closures; Escaping Closures; Autoclosures;";;Proficient ;Exemplary 
TEC077;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can use Basic Operators in Swift;"Basic operators;  Assignment Operator; Arithmetic Operators; Range Operators;";"Compound Assignment Operators;";Progressing;Exemplary ;Exemplary 
TEC078;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to use Low-Level Utilities with Foundation;;"XPC; Object Runtime; Processes and Threads; Streams;  Sockets;  and Ports;";;-;Proficient
TEC079;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to use Optional Values in Swift;"nil; Forced Unwrapping; Optional Binding;";" Implicitly Unwrapped Optionals; Nil-Coalescing Operator; Optional Chaining;";Progressing;Exemplary ;Exemplary 
TEC080;Technical;Learn how to work with Media,  Animation and Games;Media,  Animation and Games;I can simulate and render 3D content for use in my augmented reality apps with RealityKit;;"Essentials; Reality Composer; The Entity Component System; Scene Elements; Cameras and Lighting; Animation Playback; Audio Playback; Network Synchronization; Structures;";;;
TEC081;Technical;Learn how to work with Media,  Animation and Games;Media,  Animation and Games;I can create 3D games and add 3D content to apps using high-level scene descriptions,  with physics simulation and particle effects with SceneKit;;"First Steps; Scene Structure; Display and Interactivity; Lighting;  Cameras;  and Shading; Geometry; Animation and Constraints; Physics; Particle Systems; Audio; Renderer Customization; Scene Asset Import; JavaScript; SceneKit Data Types;";;;
TEC082;Technical;Learn how to work with Media,  Animation and Games;Media,  Animation and Games;I can render advanced 3D graphics and perform data-parallel computations using graphics processors with Metal;;"Essentials; GPUs; Command Setup; Parallel Computation; Ray Tracing; Rendering; Presentation; Shaders; Resources; Object Sizing and Positioning; Packed Vectors and Matrices; Time; Tools; GPU Programming Techniques; Structures;";;;
TEC083;Technical;Learn how to work with Media,  Animation and Games;Media,  Animation and Games;I can work with audiovisual assets,  control device cameras,  process audio,  and configure system audio interactions with AVFoundation;;"Assets; Playback; Capture; Editing; Audio; Speech;";;;
TEC084;Technical;Learn how to work with Media,  Animation and Games;Media,  Animation and Games;I can record or stream video from the screen,  and audio from the app and microphone with ReplayKit;;"Replay Sharing; Media Clip Processing; Live Broadcast Implementation; Errors;";;;
TEC085;Technical;Learn how to work with Media,  Animation and Games;Media,  Animation and Games;I can compose and play haptic patterns to customize my iOS app’s haptic feedback with Core Haptics;;"Essentials; File-Based Haptics; Programmatic Haptics; Game Controller Haptics; Haptic Errors;";;;
TEC086;Technical;Learn how to work with Media,  Animation and Games;Media,  Animation and Games;I know how to import,  export,  and manipulate 3D models with Model I/O;;"3D Asset Basics; Managing Mesh Data; Materials; Textures; Lights; Cameras; Extensible Asset Format Support; Volumetric Representations; Classes;";;;
TEC087;Technical;Learn how to work with Media,  Animation and Games;Media,  Animation and Games;I can render,  compose,  and animate visual elements with Core Animation;;"Layer Basics; Text;  Shapes;  and Gradients; Animation; Animation Groups; Animation Timing; Particle Systems; Advanced Layer Options; Metal and OpenGL; Remote Display of Layer Content; Transforms;";;;
TEC088;Technical;Learn how to work with Media,  Animation and Games;Media,  Animation and Games;I can add high-performance 2D content with smooth animations to my app,  or create a game with a high-level set of 2D game-based tools with SpriteKit;;"Essentials; Scene Renderers; Textures; Animation; Constraints; Mathematical Tools; Physics Simulation; Physics Joints; Tiling; Shaders; Warping;";;;
