Code;New Code;Strand;Goal;Goal Short Name;Objective;Keywords;Challenge;Core / Elective;Progressing;Backend;Business;Design;Frontend;Game Design;Game Developer;Project Management
TEC020;TCH-02-005;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to combine views in stacks, generate groups and lists of views dynamically,  and define view presentations and hierarchy with SwiftUI;Interfaces Development, HStack, VStack, ZStack, List,, LazyHStack, LazyVStack, LazyHGrid, LazyVGrid, GridItem, ForEach, ScrollView, Form, Group, GroupBox, Section, Spacer, Divider, NavigationView, TabView, Alert, ActionSheet, EmptyView, AnyView, TupleView,;MC1;Core;Progressing;Exemplary;;Proficient;Exemplary;;;
TEC021;TCH-02-006;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to control and respond to the flow of data and changes within my app’s models with SwiftUI;Interfaces Development, Binding, State,, ObservedObject, EnvironmentObject, StateObject, ObservableObject, FocusedBinding, FocusedValue, Environment, PreferenceKey, AppStorage, SceneStorage, FetchRequest, Transaction,;MC1, MC3;Core;Progressing;Proficient;;;;;Proficient;
TEC022;TCH-02-007;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can work with Documents,  Data,  and Pasteboard with UIKit;Interfaces Development, UIDocument, UIDataSourceModelAssociation, UIPasteboard,;;;;;;;Beginning;;;
TEC023;TCH-02-008;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to handle Animation and Haptics with UIKit;Interfaces Development, Property-Based Animations, UIKit Dynamics, Motion Effects, Haptic Feedback,;NCX;;;Proficient;;;Beginning;;;
TEC024;TCH-02-009;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to use Windows and Screens with UIKit;Interfaces Development, UIWindow, UIPopoverPresentationController, UIAlertController, UIAlertAction, UIScreen, UIScreenMode,;;;;Progressing;;;Proficient;;;
TEC025;TCH-02-010;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to handle View Fundamentals with UIKit;Interfaces Development, UIView,, ;MC3;Core;Progressing;Progressing;;;Proficient;;;
TEC026;TCH-02-011;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can work with View Layout with UIKit;Interfaces Development, Constraints,, Layout Guides, Anchors,;MC3;Core;Progressing;;;;Exemplary;;;
TEC027;TCH-02-012;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can enhance my views with colors,  shapes,  and shadows,  and customize animated transitions between view states with SwiftUI;Interfaces Development, Color,, Shape, Animation, AnimatableModifier, Rectangle, Circle, RoundedRectangle, Ellipse, Path, ScaledShape, Gradient,  TransformedShape, BackgroundStyle, GeometryProxy, GeometryReader, GeometryEffect, Angle, Anchor, ;MC1, NC1;Core;Progressing;Beginning;;Proficient;Exemplary;;Proficient;
TEC028;TCH-02-013;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can generate dynamic,  interactive previews of my custom views with SwiftUI;Interfaces Development, PreviewProvider, PreviewDevice, PreviewPlatform, PreviewLayout, PreviewContext,;MC1, NC2, NCX;;;Beginning;;;Exemplary;;;
TEC029;TCH-02-014;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can present content onscreen and handle user interactions with SwiftUI;Interfaces Development, View, Text, TextField, Image, Button, NavigationLink,, SecureText, TextEditor, SignInWithAppleButton, Menu, Toggle, Picker, Slider, Stepper, ColorPicker, ProgressView, Gauge, Label, Link,;MC1, NC1, NC2;Core;Progressing;;;Proficient;Progressing;;;
TEC030;TCH-02-015;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to manage Content View Controllers with UIKit;Interfaces Development, UIViewController, UITableViewController,, UICollectionViewController, UIContentContainer,;;Core;Progressing;;;;Progressing;;;
TEC031;TCH-02-016;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can use Visual Effect classes with UIKit;Interfaces Development, UIVisualEffect, UIVibrancyEffect, UIBlurEffect,;;;;;;;;;Proficient;
TEC032;TCH-02-017;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can perform lightweight 2D rendering with high-fidelity output with Core Graphics;Interfaces Development, Geometric Data Types, 2D Drawing, Colors and Fonts, Working with PDF Documents, Utility and Support Classes, Services,;;;;Progressing;;;Progressing;;Progressing;
TEC033;TCH-02-018;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can apply Images and Video with UIKit;Interfaces Development, UIImagePickerController, UIVideoEditorController,;;;;Beginning;;;Beginning;;;
TEC034;TCH-02-019;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can manage Fonts with UIKit;Interfaces Development, UIFontPickerViewController, ;;;;Beginning;;;Progressing;;;
TEC035;TCH-02-020;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can manage Appearance Customization with UIKit;Interfaces Development, Dark Mode, Navigation Bar Appearance, Toolbar Appearance, Tab Bar Appearance, Shared Appearance,;;;;;;;;;;
TEC036;TCH-02-021;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to manage Interface Restoration with UIKit;Interfaces Development, Interface Restoration,;;;;Proficient;;;Progressing;;;
TEC037;TCH-02-022;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to use Search Fields with UIKit;Interfaces Development, UISearchTextField, UISearchToken,;;;;Progressing;;;Beginning;;;
TEC038;TCH-02-023;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to use Activities Interface with UIKit;Interfaces Development, UIActivityViewController, UIActivityItemProvider,;;;;Proficient;;;Beginning;;;
TEC039;TCH-02-024;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to implement Inter-Process Communication with UIKit;Interfaces Development, Universal Links, UIActivity, UIActivityViewController,;;;;;;;Beginning;;;
TEC040;TCH-02-025;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can implement Color Picker with UIKit;Interfaces Development, Color Picker,;;;;;;;Progressing;;;
TEC041;TCH-02-026;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to handle User Interactions with UIKit;Interfaces Development, UIResponder, UIEvent, UITouch, UIPress, UIHoverGestureRecognizer, UILongPressGestureRecognizer, UIPanGestureRecognizer, UIPinchGestureRecognizer, UIRotationGestureRecognizer, UIScreenEdgePanGestureRecognizer, UISwipeGestureRecognizer, UITapGestureRecognizer, Custom Gestures, 3D Touch Interactions, UIPointerInteraction, UIPencilInteraction, Focus-based Navigation, Menus and Shortcuts,;;;;;;;Beginning;;;
TEC042;TCH-02-027;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can use Content Views with UIKit;Interfaces Development, UIImageView,, UIActivityIndicatorView, UIPickerView, UIProgressView,;MC3;Core;Progressing;Progressing;;;Proficient;;;
TEC043;TCH-02-028;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can manage App and Environment with UIKit;Interfaces Development, App’s Life Cycle,, UIApplication, UIDevice, UIStatusBarManager, UITraitCollection, UIGuidedAccessRestrictionDelegate,;MC3;Core;Progressing;Progressing;;;Proficient;;;
TEC044;TCH-02-029;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can implement Controls with UIKit;Interfaces Development, UIButton,, UIColorWell, UIDatePicker, UIPageControl, UISegmentedControl, UISlider,  UIStepper, UISwitch,;MC3;Core;Progressing;Progressing;;;Beginning;;;
TEC045;TCH-02-030;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to handle Interface Orientation with UIKit;Interfaces Development, Interface Orientation, Portrait, Landscape,, ;MC3;Core;Progressing;Progressing;;;Proficient;;;
TEC046;TCH-02-031;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can define interactions from taps,  clicks,  and swipes to fine-grained gestures with SwiftUI;Interfaces Development, TapGesture, LongPressGesture, DragGesture, RotationGesture,  MagnificationGesture, SequenceGesture, SimultaneousGesture, Gesture, AnyGesture, GestureState, GestureMask,;MC1, NC1;;;;;Proficient;Proficient;;Proficient;
TEC047;TCH-02-032;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can handle Container View Controllers with UIKit;Interfaces Development, UITabBarController,, UISplitViewController, UINavigationBar, UIPageViewController, UINavigationController, UINavigationItem,;MC3;Core;Progressing;;;;Proficient;;;
TEC048;TCH-02-033;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can manage Graphics,  Drawing,  and Printing with UIKit;Interfaces Development, UIImage, UIColor,, Image Creation, Photo Album, PDF Creation, Drawing Contexts, UIBezierPath, UIPrintInteractionController, ;;Core;Progressing;Progressing;;;Proficient;;;
TEC049;TCH-02-034;Technical;Learn how to work with Interfaces Development;Interfaces Development;I can handle Container Views with UIKit;Interfaces Development, UITableView,, UICollectionView, UIStackView, UIScrollView,;;Core;Progressing;Progressing;;;Proficient;;;
TEC050;TCH-02-035;Technical;Learn how to work with Interfaces Development;Interfaces Development;I know how to work with Bars with UIKit;Interfaces Development, UITabBar, UITabBarItem,, UIBarItem, UIBarButtonItem, UINavigationBar, UISearchBar, UIToolbar,;MC3;Core;Progressing;Exemplary;;;Exemplary;;;
TEC051;TCH-03-001;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to work with Nested types in Swift;Logic and Programming, Nested Types,;;;;Exemplary;;;Progressing;;Proficient;
TEC052;TCH-03-002;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to use Automatic Reference Counting in Swift;Logic and Programming, ARC, strong, weak, ;;;;Exemplary;;;Progressing;;;
TEC053;TCH-03-003;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can differentiate assertions and preconditions in Swift;Logic and Programming, assert, precondition,;;;;Exemplary;;;Exemplary;;;
TEC054;TCH-03-004;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to work with Protocols in Swift;Logic and Programming, protocol, delegate, ;MC3;;;Exemplary;;;Proficient;;Proficient;
TEC055;TCH-03-005;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can implement Opaque types in Swift;Logic and Programming, Opaque Type,;;;;Exemplary;;;Exemplary;;Proficient;
TEC056;TCH-03-006;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can use Conditional Statements in Swift;Logic and Programming, if/else, switch/case,  guard, Comparison Operators,, Ternary Conditional Operator, Logical Operators, Control Transfer Statements, Checking API Availability,;NC1;Core;Progressing;Exemplary;;;Exemplary;;Exemplary;
TEC057;TCH-03-007;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can apply Swift Basic Concepts and use basic Swift elements;Logic and Programming, Constants and Variables, Comments,, Type Safety and Type Inference, Type Aliases, Tuples,;MC1, NC1;Core;Progressing;Exemplary;;;Exemplary;;Exemplary;
TEC058;TCH-03-008;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can successfully manage Functions in Swift;Logic and Programming, func, Parameters and return value,, Argument Labels and Parameter Names,;MC1;Core;Progressing;Exemplary;;;Exemplary;;Exemplary;
TEC059;TCH-03-009;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to work with loops in Swift;Logic and Programming, For-In, , While, Repeat-While,;MC1;Core;Progressing;Exemplary;;;Exemplary;;Exemplary;
TEC060;TCH-03-010;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can manage Initialization and Deinitialization in Swift;Logic and Programming, init, Default Initializers, Customizing Initialization, Failable Initializers, deinit, ;MC1;;;Exemplary;;;Exemplary;;Exemplary;
TEC061;TCH-03-011;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to work with Swift Numbers and Boolean;Logic and Programming,  Int, Double, Numeric Literals, Numeric Type Conversion, Bool,, ;MC1;Core;Progressing;Exemplary;;;Exemplary;;Exemplary;
TEC062;TCH-03-012;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can use Strings and Characters in Swift;Logic and Programming, String Literals, Empty String, String Interpolation,, String Mutability, Strings as Value Types, Working with Characters, Unicode, Counting Characters, Modifying a String, Substrings,;MC1, NC1;Core;Progressing;Exemplary;;;Exemplary;;Exemplary;
TEC063;TCH-03-013;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to work with Access Control in Swift;Logic and Programming, public, internal, private, fileprivate,;MC1, NC1;;;Exemplary;;;Beginning;;Exemplary;
TEC064;TCH-03-014;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can use Advanced Operators in Swift;Logic and Programming, Bitwise Operators, Overflow Operators, Precedence and Associativity, Operator Methods, Custom Operators,;MC1;;;Exemplary;;;Proficient;;Exemplary;
TEC065;TCH-03-015;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to implement Type Casting in Swift;Logic and Programming, Checking Type, Downcasting, ;MC1;;;Exemplary;;;Exemplary;;Exemplary;
TEC066;TCH-03-016;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can implement Structures and Classes in Swift;Logic and Programming, struct, class,, value type vs reference type,;MC1;Core;Progressing;Exemplary;;;Exemplary;;Exemplary;
TEC067;TCH-03-017;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can use Extensions in Swift;Logic and Programming, extension,;;;;Exemplary;;;Progressing;;Exemplary;
TEC068;TCH-03-018;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to work with Generics in Swift;Logic and Programming, Generic Functions, Generic Types, Associated Types, Generic Subscripts,  ;;;;Exemplary;;;Exemplary;;Exemplary;
TEC069;TCH-03-019;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can implement design patterns in Swift;Logic and Programming, MVC,, MVVM,;MC1, MC3;Core;Progressing;Exemplary;;;Exemplary;;Exemplary;
TEC070;TCH-03-020;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to work with enumeration in Swift;Logic and Programming, enum,,  Associated Values,  Raw Values,;MC1;Core;Progressing;Exemplary;;;Exemplary;;Exemplary;
TEC071;TCH-03-021;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can successfully use Inheritance in Swift;Logic and Programming, Base Class, Subclassing,, Overriding, ;MC1;Core;Progressing;Exemplary;;;Exemplary;;Exemplary;
TEC072;TCH-03-022;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can successfully handle Errors in Swift;Logic and Programming, Error, throw, do/catch, try, ;MC3;;;Exemplary;;;Exemplary;;Exemplary;
TEC073;TCH-03-023;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can effectively use Collection Types in Swift;Logic and Programming, Arrays, Dictionaries,, Sets,;MC1, NC1;Core;Progressing;Exemplary;;;Exemplary;;Exemplary;
TEC074;TCH-03-024;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to use Methods in Swift;Logic and Programming, Instance Methods,, Type Methods,;MC1;Core;Progressing;Exemplary;;;Exemplary;;Exemplary;
TEC075;TCH-03-025;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to use Properties in Swift;Logic and Programming, Stored Properties,, Computed Properties, Property Observers, Property Wrappers, Global and Local Variables, Type Properties,;MC1;Core;Progressing;Exemplary;;;;;Exemplary;
TEC076;TCH-03-026;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can apply subscripts in Swift;Logic and Programming, subscript, Subscript Options, Type Subscripts,;;;;Exemplary;;;Exemplary;;;
TEC077;TCH-03-027;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can work with Closures in Swift;Logic and Programming, Closure Expressions, Trailing Closures, Escaping Closures, Autoclosures,;MC3;;;Exemplary;;;Exemplary;;Exemplary;
TEC078;TCH-03-028;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I can use Basic Operators in Swift;Logic and Programming, Basic operators,  Assignment Operator, Arithmetic Operators, Range Operators,, Compound Assignment Operators,;MC1, NC1;Core;Progressing;Exemplary;;;;;Exemplary;
TEC079;TCH-03-029;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to use Low-Level Utilities with Foundation;Logic and Programming, XPC, Object Runtime, Processes and Threads, Streams,  Sockets,  and Ports,;;;;Exemplary;;;Exemplary;;;
TEC080;TCH-03-030;Technical;Learn how to use Logic and Programming Languages;Logic and Programming;I know how to use Optional Values in Swift;Logic and Programming, nil, Forced Unwrapping, Optional Binding,,  Implicitly Unwrapped Optionals, Nil-Coalescing Operator, Optional Chaining,;MC1;Core;Progressing;;;;Beginning;;Exemplary;
TEC081;TCH-04-001;Technical;Learn how to work with Media,  Animation and Games;Media Animation and Games ;I can simulate and render 3D content for use in my augmented reality apps with RealityKit;Media,  Animation and Games, Essentials, Reality Composer, The Entity Component System, Scene Elements, Cameras and Lighting, Animation Playback, Audio Playback, Network Synchronization, Structures,;;;;;;;Beginning;;Progressing;
TEC082;TCH-04-002;Technical;Learn how to work with Media,  Animation and Games;Media Animation and Games ;I can create 3D games and add 3D content to apps using high-level scene descriptions,  with physics simulation and particle effects with SceneKit;Media,  Animation and Games, First Steps, Scene Structure, Display and Interactivity, Lighting,  Cameras,  and Shading, Geometry, Animation and Constraints, Physics, Particle Systems, Audio, Renderer Customization, Scene Asset Import, JavaScript, SceneKit Data Types,;;;;;;;;;Progressing;
TEC083;TCH-04-003;Technical;Learn how to work with Media,  Animation and Games;Media Animation and Games ;I can render advanced 3D graphics and perform data-parallel computations using graphics processors with Metal;Media,  Animation and Games, Essentials, GPUs, Command Setup, Parallel Computation, Ray Tracing, Rendering, Presentation, Shaders, Resources, Object Sizing and Positioning, Packed Vectors and Matrices, Time, Tools, GPU Programming Techniques, Structures,;;;;;;;Proficient;;Beginning;
TEC084;TCH-04-004;Technical;Learn how to work with Media,  Animation and Games;Media Animation and Games ;I can work with audiovisual assets,  control device cameras,  process audio,  and configure system audio interactions with AVFoundation;Media,  Animation and Games, Assets, Playback, Capture, Editing, Audio, Speech,;;;;;;;;Beginning;Exemplary;
TEC085;TCH-04-005;Technical;Learn how to work with Media,  Animation and Games;Media Animation and Games ;I can record or stream video from the screen,  and audio from the app and microphone with ReplayKit;Media,  Animation and Games, Replay Sharing, Media Clip Processing, Live Broadcast Implementation, Errors,;;;;;;;Progressing;;Progressing;
TEC086;TCH-04-006;Technical;Learn how to work with Media,  Animation and Games;Media Animation and Games ;I can compose and play haptic patterns to customize my iOS app’s haptic feedback with Core Haptics;Media,  Animation and Games, Essentials, File-Based Haptics, Programmatic Haptics, Game Controller Haptics, Haptic Errors,;NC2;;;;;;Beginning;;Exemplary;
TEC087;TCH-04-007;Technical;Learn how to work with Media,  Animation and Games;Media Animation and Games ;I know how to import,  export,  and manipulate 3D models with Model I/O;Media,  Animation and Games, 3D Asset Basics, Managing Mesh Data, Materials, Textures, Lights, Cameras, Extensible Asset Format Support, Volumetric Representations, Classes,;;;;;;;;;Beginning;
TEC088;TCH-04-008;Technical;Learn how to work with Media,  Animation and Games;Media Animation and Games ;I can render,  compose,  and animate visual elements with Core Animation;Media,  Animation and Games, Layer Basics, Text,  Shapes,  and Gradients, Animation, Animation Groups, Animation Timing, Particle Systems, Advanced Layer Options, Metal and OpenGL, Remote Display of Layer Content, Transforms,;;;;;;;;Beginning;Proficient;
TEC089;TCH-04-009;Technical;Learn how to work with Media,  Animation and Games;Media Animation and Games ;I can add high-performance 2D content with smooth animations to my app,  or create a game with a high-level set of 2D game-based tools with SpriteKit;Media,  Animation and Games, Essentials, Scene Renderers, Textures, Animation, Constraints, Mathematical Tools, Physics Simulation, Physics Joints, Tiling, Shaders, Warping,;;;;;;;;Beginning;Exemplary;
TEC090;TCH-04-010;Technical;Learn how to work with Media,  Animation and Games;Media Animation and Games ;I know how to architect and organize my game logic with GameplayKit;Media,  Animation and Games, Entities and Components, State Machines, Spatial Partitioning, Strategists, Decision Trees, Pathfinding, Agents,  Goals,  and Behaviors, Obstacles, Procedural Noise, Randomization, Rule Systems, Xcode and SpriteKit Integration,;;;;;;;;Beginning;Proficient;
TEC091;TCH-04-011;Technical;Learn how to work with Media,  Animation and Games;Media Animation and Games ;I know how to support hardware game controllers in my game with Game Controller;Media,  Animation and Games, Game Controllers, Input Elements, Control Profiles, Routing Events, Keyboard and Mouse Elements, Classes,;;;;;;;;Beginning;Exemplary;
TEC092;TCH-04-012;Technical;Learn how to work with Media,  Animation and Games;Media Animation and Games ;I can create experiences that keep players coming back to my game with GameKit;Media,  Animation and Games, Access Point, Players, Leaderboards, Achievements, Challenges, View Controllers, Turn-based Games, Real-Time Matches, Player Invitations, Notifications, Save Game Data, Entitlements, Errors,;NCX;;;;;;;Beginning;Exemplary;
TEC093;TCH-04-013;Technical;Learn how to work with Media,  Animation and Games;Media Animation and Games ;I know how to interact with device’s audio hardware with Core Audio;Media,  Animation and Games, Reference, Structures,;;;;;;;;;Progressing;
TEC094;TCH-04-014;Technical;Learn how to work with Media,  Animation and Games;Media Animation and Games ;I can render graphics in a standard Metal view,  load textures from many sources,  and work efficiently with models with MetalKit;Media,  Animation and Games, View Management, Texture Loading, Model Handling,;;;;;;;;;Beginning;
TEC095;TCH-04-015;Technical;Learn how to work with Media,  Animation and Games;Media Animation and Games ;I can record or play audio,  convert formats,  parse audio streams,  and configure audio sessions with AudioToolbox;Media,  Animation and Games, Essentials, Inter-Device Audio and MIDI, Audio Units, Playback and Recording, Audio Files and Formats, Utilities,;;;;;;;Beginning;;Progressing;
TEC096;TCH-04-016;Technical;Learn how to work with Media,  Animation and Games;Media Animation and Games ;I can integrate iOS device camera and motion features to produce augmented reality experiences with ARKit;Media,  Animation and Games, Essentials, Camera, Quick Look, Display, World Tracking, Geo Tracking, Face Tracking, People, Image Tracking, Object Detection, Orientation Tracking, Positional Tracking, Rendering Effects, Multiuser, Audio, Text, Custom Display,;;;;Exemplary;;;;Beginning;Progressing;
TEC097;TCH-05-001;Technical;Learn how to work with Networking and Backend;Networking and Backend;I can store structured app and user data in iCloud containers that can be shared by all users of my app with CloudKit;Networking and Backend, Records, Assets, Queries, Notifications and Subscriptions, Shared Content, Database Management, User Data Management, Web, Errors,;;;;Exemplary;;;;;;
TEC098;TCH-05-002;Technical;Learn how to work with Networking and Backend;Networking and Backend;I know how to handle Networking with Foundation;Networking and Backend, URL Loading System, Bonjour,;MC3, NCX;;;;;;;;;
TEC099;TCH-06-001;Technical;Learn how to work with Operating Systems;Operating Systems;I can construct and manage a graphical,  event-driven user interface for my macOS app with AppKit;Operating Systems, Essentials, App Structure, User Interface, User Interactions, Graphics,  Drawing,  Color,  and Printing, Text,;NCX;;;;;;;;;
TEC100;TCH-06-002;Technical;Learn how to work with Operating Systems;Operating Systems;I can create client-server apps by incorporating JavaScript and TVML files in my binary app with TVMLKit;Operating Systems, JavaScript Environment, Views and View Controllers, Custom Elements, Custom Styles, Custom Player, Errors,;;;;;;;;;;
TEC101;TCH-06-003;Technical;Learn how to work with Operating Systems;Operating Systems;I can capture touch and Apple Pencil input as a drawing,  and display that content from my app with PencilKit;Operating Systems, Canvas, Tools,;;;;;;;;;;
PRO01;PRC-01-001;Process;Learn how to identify and effectively use the Engage phase to develop a compelling and actionable challenge.;Engage;I can identify Big Ideas that are personally meaningful and may have local and/or global significance.;Engage, CBL, big idea, ;MC1, MC2;Core;Progressing;;;Proficient;;;;Exemplary
PRO02;PRC-01-002;Process;Learn how to identify and effectively use the Engage phase to develop a compelling and actionable challenge.;Engage;I can use essential questioning to derive to a specific, clear and meaningful essential question from a Big Idea.;Engage, CBL, Essential Question;MC1, MC2;Core;Progressing;;;Proficient;;;;Exemplary
PRO03;PRC-01-003;Process;Learn how to identify and effectively use the Engage phase to develop a compelling and actionable challenge.;Engage;I can construct an appropriate, compelling and actionable challenge from an essential question.;Engage, CBL, Challenge;MC1, MC2;Core;Progressing;;;Proficient;;;;Exemplary
PRO04;PRC-02-001;Process;Learn how to conduct different levels of investigation to identify and develop effective solutions to challenges.;Investigate;I can develop effective Guiding Questions that include multiple perspectives.;Investigate, CBL, Guiding Questions;MC1, MC2;Core;Progressing;;;Proficient;;;;Exemplary
PRO05;PRC-02-002;Process;Learn how to conduct different levels of investigation to identify and develop effective solutions to challenges.;Investigate;I can effectively categorize and prioritize Guiding Questions;Investigate, CBL, Guiding Question Categorization and Prioritization;MC1, MC2, NC1;Core;Progressing;;;Proficient;;;;Exemplary
PRO06;PRC-02-003;Process;Learn how to conduct different levels of investigation to identify and develop effective solutions to challenges.;Investigate;I can identify and create appropriate guiding resources and activities to effectively answer the Guiding Questions.;Investigate, CBL, Guiding Activities;MC1, MC2;Core;Progressing;;;Proficient;;;;Exemplary
PRO07;PRC-02-004;Process;Learn how to conduct different levels of investigation to identify and develop effective solutions to challenges.;Investigate;I can effectively summarize what was learned from answering the specific Guiding Questions.;Investigate, CBL, Summarisation;MC1, MC2;Core;Progressing;;;Proficient;;;;Exemplary
PRO08;PRC-02-005;Process;Learn how to conduct different levels of investigation to identify and develop effective solutions to challenges.;Investigate;I can create and present a clear and accurate synthesis that articulates what was learned through the Investigation.;Investigate, CBL, Synthesis;MC1, MC2;Core;Progressing;;;Exemplary;;;;Exemplary
PRO09;PRC-02-006;Process;Learn how to conduct general and domain level research to identify viable solutions to their challenges.;Investigate;I can create an effective research plan to Investigate the Guiding Questions.;Investigate, CBL, Research Plan;MC1, MC2;Core;Progressing;;;Proficient;;;;Exemplary
PRO10;PRC-02-007;Process;Learn how to effectively use different research methods.;Investigate;I can conduct effective field research.;Investigate, CBL, Field Research, Qualitative Research, Ethnography, Grounded Theory;MC1, MC2;Core;Progressing;;;Proficient;;;;Exemplary
PRO11;PRC-02-008;Process;Learn how to effectively use different research methods.;Investigate;I can conduct effective and accurate web research.;Investigate , CBL, web research, ;MC1, MC2;Core;Progressing;;;Proficient;;;;Exemplary
PRO12;PRC-02-009;Process;Learn how to effectively use different research methods.;Investigate;I can conduct effective interviews with stakeholders.;Investigate , CBL, qualitative research, interviews, ;MC1, MC2;Core;Progressing;;;Proficient;;;;Exemplary
PRO13;PRC-02-010;Process;Learn how to effectively use different research methods.;Investigate;I can develop clear and effective surveys and effectively analyze the results.;Investigate , CBL, quantitative research, surveys, ;MC1, MC2;Core;Progressing;;;Proficient;;;;Exemplary
PRO14;PRC-02-011;Process;Learn how to conduct different levels of investigation to identify and develop effective solutions to challenges.;Investigate;I can identify or develop solutions that are supported by the findings in the Investigation synthesis.;Investigate , CBL, synthesis, solutions, ;MC1, MC2, MC3;Core;Progressing;;;Exemplary;;;;Exemplary
PRO15;PRC-02-012;Process;Learn how to translate their investigation into apps and create a learning backlog.;Investigate;I can successfully move from a solution statement to a description of an app that will help solve the challenge. ;Investigate , CBL, app statement, ;MC1, MC2, MC3;Core;Progressing;;;Exemplary;;;;Exemplary
PRO16;PRC-02-013;Process;Learn how to translate their investigation into apps and create a learning backlog.;Investigate;I can use my solution statement and domain investigation results to develop applicable app requirements and a prototype. ;Investigate , CBL, learning backlog, app requirements, prototyping, ;MC1, MC2, MC3;Core;Progressing;;;Exemplary;;;;Exemplary
PRO17;PRC-02-014;Process;Learn how to translate their investigation into apps and create a learning backlog.;Investigate;I can deconstruct a prototype to develop a learning and develop backlog.;Investigate, CBL, Development Backlog, Learning Backlog;MC1, MC3;Core;Progressing;;;Exemplary;;;;Exemplary
PRO18;PRC-02-015;Process;Learn how to integrate different software development methodologies with Challenge Based Development;Investigate;I understand the basic concepts of project management to effectively guide a project, identify milestones and effectively monitor and adjust a project’s progression.;Investigate, CBL, Project Management, Milestones, Project Monitoring;MC1, MC2, MC3, NCX;Core;Progressing;;;Proficient;;;;Exemplary
PRO19;PRC-03-001;Process;Learn how to implement their solutions and get feedback from authentic audiences;Act;I can use TestFlight and the App Store to get feedback on their solutions.;Act, CBL, testflight, app store, feedback, ;MC3;Core;Progressing;;;Proficient;;;;Exemplary
PRO20;PRC-03-002;Process;Learn how to implement their solutions and get feedback from authentic audiences;Act;I can use data collected from users to determine if the solution effectively solved the challenge.;Act, CBL, User Feedback, Solution Evaluation ;MC2, MC3, NCX;Core;Progressing;;;Proficient;;;;Exemplary
PRO21;PRC-03-003;Process;Learn how to implement their solutions and get feedback from authentic audiences;Act;I can use the feedback and data from users to improve the solution.;Act, CBL, Product Improvement, Iteration ;MC2, MC3, NC1;Core;Progressing;;;Proficient;;;;Exemplary
