Code;Strand;Goal Short Name;Objective;Core Rubric Level;UI/UX Path level;Frontend Path;Backend Path;Game Path;PM/Buiness
TEC046;Technical;Interfaces Development;I can define interactions from taps,  clicks,  and swipes to fine-grained gestures with SwiftUI;Progressing;;Proficient;-;;
TEC047;Technical;Interfaces Development;I can handle Container View Controllers with UIKit;Progressing;;Proficient;-;;
TEC048;Technical;Interfaces Development;I can manage Graphics,  Drawing,  and Printing with UIKit;Progressing;;Proficient;Proficient;;
TEC049;Technical;Interfaces Development;I can handle Container Views with UIKit;Progressing;;Proficient;-;;
TEC050;Technical;Interfaces Development;I know how to work with Bars with UIKit;;;Progressing;Proficient;;
TEC051;Technical;Logic and Programming;I know how to work with Nested types in Swift;;;Progressing;Proficient;;
TEC052;Technical;Logic and Programming;I know how to use Automatic Reference Counting in Swift;;;Progressing;Proficient;;
TEC053;Technical;Logic and Programming;I can differentiate assertions and preconditions in Swift;;;Progressing;Proficient;;
TEC054;Technical;Logic and Programming;I know how to work with Protocols in Swift;;;Progressing;Proficient;;
TEC055;Technical;Logic and Programming;I can implement Opaque types in Swift;Progressing;;Exemplary;Exemplary;;
TEC056;Technical;Logic and Programming;I can use Conditional Statements in Swift;Progressing;;Exemplary;Exemplary;;
TEC057;Technical;Logic and Programming;I can apply Swift Basic Concepts and use basic Swift elements;Progressing;;Exemplary;Exemplary;;
TEC058;Technical;Logic and Programming;I can successfully manage Functions in Swift;Progressing;;Exemplary;Exemplary;;
TEC059;Technical;Logic and Programming;I know how to work with loops in Swift;;;Proficient;Exemplary;;
TEC060;Technical;Logic and Programming;I can manage Initialization and Deinitialization in Swift;Progressing;;Exemplary;Exemplary;;
TEC061;Technical;Logic and Programming;I know how to work with Swift Numbers and Boolean;Progressing;;Exemplary;Exemplary;;
TEC062;Technical;Logic and Programming;I can use Strings and Characters in Swift;;;Proficient;Exemplary;;
TEC063;Technical;Logic and Programming;I know how to work with Access Control in Swift;;;Beginning;Proficient;;
TEC064;Technical;Logic and Programming;I can use Advanced Operators in Swift;;;Proficient;Exemplary;;
TEC065;Technical;Logic and Programming;I know how to implement Type Casting in Swift;Progressing;;Exemplary;Exemplary;;
TEC066;Technical;Logic and Programming;I can implement Structures and Classes in Swift;;;Proficient;Exemplary;;
TEC067;Technical;Logic and Programming;I can use Extensions in Swift;;;Progressing;Proficient;;
TEC068;Technical;Logic and Programming;I know how to work with Generics in Swift;Progressing;;Progressing;Proficient;;
TEC069;Technical;Logic and Programming;I can implement design patterns in Swift;Progressing;;Exemplary;Exemplary;;
TEC070;Technical;Logic and Programming;I know how to work with enumeration in Swift;Progressing;;Exemplary;Exemplary;;
TEC071;Technical;Logic and Programming;I can successfully use Inheritance in Swift;;;Proficient;Exemplary;;
TEC072;Technical;Logic and Programming;I can successfully handle Errors in Swift;Progressing;;Exemplary;Exemplary;;
TEC073;Technical;Logic and Programming;I can effectively use Collection Types in Swift;Progressing;;Exemplary;Exemplary;;
TEC074;Technical;Logic and Programming;I know how to use Methods in Swift;Progressing;;Proficient;Exemplary;;
TEC075;Technical;Logic and Programming;I know how to use Properties in Swift;;;-;Proficient;;
TEC076;Technical;Logic and Programming;I can apply subscripts in Swift;;;Proficient;Exemplary;;
TEC077;Technical;Logic and Programming;I can work with Closures in Swift;Progressing;;Exemplary;Exemplary;;
TEC078;Technical;Logic and Programming;I can use Basic Operators in Swift;;;-;Proficient;;
TEC079;Technical;Logic and Programming;I know how to use Low-Level Utilities with Foundation;Progressing;;Exemplary;Exemplary;;
TEC080;Technical;Logic and Programming;I know how to use Optional Values in Swift;;;;;;
TEC081;Technical;Media,  Animation and Games;I can simulate and render 3D content for use in my augmented reality apps with RealityKit;;;;;;
TEC082;Technical;Media,  Animation and Games;I can create 3D games and add 3D content to apps using high-level scene descriptions,  with physics simulation and particle effects with SceneKit;;;;;;
TEC083;Technical;Media,  Animation and Games;I can render advanced 3D graphics and perform data-parallel computations using graphics processors with Metal;;;;;;
TEC084;Technical;Media,  Animation and Games;I can work with audiovisual assets,  control device cameras,  process audio,  and configure system audio interactions with AVFoundation;;;;;;
TEC085;Technical;Media,  Animation and Games;I can record or stream video from the screen,  and audio from the app and microphone with ReplayKit;;;;;;
TEC086;Technical;Media,  Animation and Games;I can compose and play haptic patterns to customize my iOS app’s haptic feedback with Core Haptics;;;;;;
TEC087;Technical;Media,  Animation and Games;I know how to import,  export,  and manipulate 3D models with Model I/O;;;;;;
TEC088;Technical;Media,  Animation and Games;I can render,  compose,  and animate visual elements with Core Animation;;;;;;
TEC089;Technical;Media,  Animation and Games;I can add high-performance 2D content with smooth animations to my app,  or create a game with a high-level set of 2D game-based tools with SpriteKit;;;;;;
TEC090;Technical;Media,  Animation and Games;I know how to architect and organize my game logic with GameplayKit;;;;;;
TEC091;Technical;Media,  Animation and Games;I know how to support hardware game controllers in my game with Game Controller;;;;;;
TEC092;Technical;Media,  Animation and Games;I can create experiences that keep players coming back to my game with GameKit;;;;;;
TEC093;Technical;Media,  Animation and Games;I know how to interact with device’s audio hardware with Core Audio;;;;;;
TEC094;Technical;Media,  Animation and Games;I can render graphics in a standard Metal view,  load textures from many sources,  and work efficiently with models with MetalKit;;;;;;
TEC095;Technical;Media,  Animation and Games;I can record or play audio,  convert formats,  parse audio streams,  and configure audio sessions with AudioToolbox;;;;;;
TEC096;Technical;Media,  Animation and Games;I can integrate iOS device camera and motion features to produce augmented reality experiences with ARKit;;;;Proficient;;
TEC097;Technical;Networking and Backend;I can store structured app and user data in iCloud containers that can be shared by all users of my app with CloudKit;;;;Exemplary;;
TEC098;Technical;Networking and Backend;I know how to handle Networking with Foundation;;;;-;;
TEC099;Technical;Operating Systems;I can construct and manage a graphical,  event-driven user interface for my macOS app with AppKit;;;;-;;
TEC100;Technical;Operating Systems;I can create client-server apps by incorporating JavaScript and TVML files in my binary app with TVMLKit;;;;-;;
TEC101;Technical;Operating Systems;I can capture touch and Apple Pencil input as a drawing,  and display that content from my app with PencilKit;;;;-;;
TEC102;Technical;Operating Systems;I can use Apple TV Markup Language to create individual pages inside of a client-server app with TVML;;;;-;;
TEC103;Technical;Operating Systems;I can implement two-way communication between an iOS app and its paired watchOS app with WatchConnectivity;;;;-;;
TEC104;Technical;Operating Systems;I can create tvOS client-server apps using web technologies to stream media and respond to events with TVMLKit JS;;;;-;;
TEC105;Technical;Operating Systems;I know how to build apps that leverage watchOS features with WatchKit;;;;-;;
TEC106;Technical;Operating Systems;I can show common user interface elements from Apple TV in my native app with TVUIKit;;;Progressing;Proficient;;
TEC107;Technical;Platform Functionalities;I can manage resources located in an app,  framework,  or plugin bundle with Bundle Resources;;;;-;;
TEC108;Technical;Platform Functionalities;I can implement handoff;;;;Proficient;;
TEC109;Technical;Platform Functionalities;I know how to create app extensions;;;Beginning;-;;
TEC110;Technical;Platform Functionalities;I can apply Drag and Drop;;;;-;;
TEC111;Technical;Platform Functionalities;I can implement Mac Catalyst;Progressing;;Exemplary;Exemplary;;
TEC112;Technical;Platform Functionalities;I know how to protect User’s Privacy;Progressing;;Proficient;Proficient;;
TEC113;Technical;Platform Functionalities;I know how to manage Accessibility;;;;-;;
TEC114;Technical;Supporting Frameworks;I can communicate with Bluetooth low energy and BR/EDR “Classic” Devices with Core Bluetooth;;;;-;;
TEC115;Technical;Supporting Frameworks;I can display an interface for viewing,  selecting,  and editing calendar events and reminders with EventKitUI;;;;-;;
TEC116;Technical;Supporting Frameworks;I know how to detect NFC tags,  read messages that contain NDEF data,  and save data to writable tags with Core NFC;;;;-;;
TEC117;Technical;Supporting Frameworks;I can enable teachers to assign activities from your app’s content and to view student progress with ClassKit;;;;Progressing;;
TEC118;Technical;Supporting Frameworks;I can perform cryptographic operations securely and efficiently with CryptoKit;;;;-;;
TEC119;Technical;Supporting Frameworks;I can display information about users’ contacts in a graphical interface with ContactsUI;;;;-;;
TEC120;Technical;Supporting Frameworks;I can accelerate training and validation of neural networks using the CPU and GPUs with ML Compute;;;;Progressing;;
TEC121;Technical;Supporting Frameworks;I can request and process Apple Pay payments in my app. Create,  distribute,  and update passes for the Wallet app with PassKit;;;;Progressing;;
TEC122;Technical;Supporting Frameworks;"I can provide users the ability to sign in to my apps and websites using their Apple ID with Sign in with Apple";;;;-;;
TEC123;Technical;Supporting Frameworks;I can create previews of files to use inside my app,  or perform simple edits on previews with QuickLook;;;;-;;
TEC124;Technical;Supporting Frameworks;I can detect the contours of the edges of an image with Vision;;;;-;;
TEC125;Technical;Supporting Frameworks;I can create a user interface for composing email and text messages,  so users can edit and send messages without leaving my app with MessageUI;;;;-;;
TEC126;Technical;Supporting Frameworks;I can analyze natural language text and deduce its language-specific metadata with Natural Language;;;;-;;
TEC127;Technical;Supporting Frameworks;I can use the iOS camera to scan documents like those you capture in the Notes app with VisionKit;;;;-;;
TEC128;Technical;Supporting Frameworks;I can determine the geometries of various Vision types with Vision;;;;-;;
TEC129;Technical;Supporting Frameworks;I can demonstrate how to use Composition Interfaces with Social;;;;-;;
TEC130;Technical;Supporting Frameworks;I can find rectangular features like cards and signs in images with Vision;;;;-;;
TEC131;Technical;Supporting Frameworks;I can process accelerometer,  gyroscope,  pedometer,  and environment-related events with Core Motion;;;;-;;
TEC132;Technical;Supporting Frameworks;I can secure the data my app manages,  and control access to my app with Security;;;;-;;
TEC133;Technical;Supporting Frameworks;I know how to execute code concurrently on multicore hardware with Dispatch;;;;-;;
TEC134;Technical;Supporting Frameworks;I can recognizes various animals in an image with Vision;;;;-;;
TEC135;Technical;Supporting Frameworks;I can apply Vision algorithms to identify objects in real-time video with Vision;;;;-;;
TEC136;Technical;Supporting Frameworks;I can manage Files and Data Persistence with Foundation;;;;Progressing;;
TEC137;Technical;Supporting Frameworks;I know how to access operating-system services with Foundation;;;;-;;
TEC138;Technical;Supporting Frameworks;I can find regions of visible text in an image with Vision;;;;Exemplary;;
TEC139;Technical;Supporting Frameworks;I can create network connections to send and receive data using transport and security protocols with Network;;;;Exemplary;;
TEC140;Technical;Supporting Frameworks;I can persist or cache data and support undo on a single device with Core Data;;;;-;;
TEC141;Technical;Supporting Frameworks;I can perform image analysis to find faces and rectangular regions containing humans in an image with Vision;;;;-;;
TEC142;Technical;Supporting Frameworks;I can handle user requests for my app’s services that originate from Siri or Maps with SiriKit;;;;-;;
TEC143;Technical;Supporting Frameworks;I can gain low-level access to the Objective-C runtime and the Objective-C root types with the Objective-C Runtime;;;;-;;
TEC144;Technical;Supporting Frameworks;I can demonstrate alignment manipulation between two images with Vision;;;;-;;
TEC145;Technical;Supporting Frameworks;I can integrate machine learning models into your app with Core ML;;;;Proficient;;
TEC146;Technical;Supporting Frameworks;I know how to obtain the geographic location and orientation of a device with Core Location;;;;Proficient;;
TEC147;Technical;Supporting Frameworks;I can push user-facing notifications to the user's device with UserNotifications;;;;-;;
TEC148;Technical;Supporting Frameworks;I can locate and demarcate rectangles,  barcodes,  and text in images using the Vision framework with Vision;;;;-;;
TEC149;Technical;Supporting Frameworks;I can create machine learning models for use in my app with Create ML;;;;-;;
TEC150;Technical;Supporting Frameworks;I know how to retrieve data and derived metrics from an iPhone’s sensors,  or from a paired Apple Watch with SensorKit;;;;-;;
TEC151;Technical;Supporting Frameworks;I can chat with my customers using the Messages app with Business Chat;;;;-;;
TEC152;Technical;Supporting Frameworks;I can create an app clip to make some of my app’s functionality available to users who don’t have the full app installed with AppClip;;;;-;;
TEC153;Technical;Supporting Frameworks;I can detect the trajectories of shapes moving along a parabolic path with Vision;;;;-;;
TEC154;Technical;Supporting Frameworks;I can determine the horizon angle in an image with Vision;;;;-;;
TEC155;Technical;Supporting Frameworks;I can create apps that help people better understand and manage their health with CareKit;;;;Proficient;;
TEC156;Technical;Supporting Frameworks;I know how to support in-app purchases and interactions with the App Store with StoreKit;;;;-;;
TEC157;Technical;Supporting Frameworks;I know how to reate,  view,  and edit calendar and reminder events with EventKit;;;;-;;
TEC158;Technical;Supporting Frameworks;I can respond to push notifications related to my app’s complications,  file providers,  and VoIP services with PushKit;;;;-;;
TEC159;Technical;Supporting Frameworks;I can isolate regions in an image that are most likely to draw people's attention with Vision;;;;-;;
TEC160;Technical;Supporting Frameworks;I can access the user's contacts and format and localize contact information with Contacts;;;;-;;
TEC161;Technical;Supporting Frameworks;I can find and recognizes barcodes in an image with Vision;;;;-;;
TEC162;Technical;Supporting Frameworks;I can locate and interact with nearby devices using distance,  direction,  and identifier with NearbyInteraction;;;;-;;
TEC163;Technical;Supporting Frameworks;I can customize the interface that displays local and remote notifications with UserNotificationsUI;;;;-;;
TEC164;Technical;Supporting Frameworks;I can perform speech recognition on audio,  receive transcriptions,  alternative interpretations,  and confidence levels of the results with Speech;;;;-;;
TEC165;Technical;Supporting Frameworks;I know how to work with image and video assets managed by the Photos app with PhotoKit;;;;-;;
TEC166;Technical;Supporting Frameworks;I can create app extensions that allow users to send text,  stickers,  media files,  and interactive messages with Messages;;;;-;;
TEC167;Technical;Supporting Frameworks;I can help users access and manage their external accounts from within my app,  without requiring them to enter login credentials with Accounts;;;;-;;
TEC168;Technical;Supporting Frameworks;I can authenticate users biometrically or with a passphrase they already know with LocalAuthentication;;;;-;;
TEC169;Technical;Supporting Frameworks;I can integrate in my audio,  communication,  navigation,  parking,  EV charging and food ordering apps with CarPlay;;;;-;;
TEC170;Technical;Supporting Frameworks;I can make it easy for users to log into apps and services with AuthenticationServices;;;;-;;
TEC171;Technical;Supporting Frameworks;I can detect and track faces from the selfie cam feed in real time with Vision;;;;-;;
TEC172;Technical;Supporting Frameworks;I can implement a COVID-19 exposure notification system that protects user privacy with ExposureNotification;;;;-;;
TEC173;Technical;Supporting Frameworks;I know how to use built-in or custom filters to process still and video images with Core Image;;;;-;;
TEC174;Technical;Supporting Frameworks;I can add the capability to detect human body poses to my app with Vision;;;;-;;
TEC175;Technical;Supporting Frameworks;I can customize handling of asynchronous events by combining event-processing operators with Combine;;;;Proficient;;
TEC176;Technical;Supporting Frameworks;I know how to display map or satellite imagery within my app with MapKit;;;;-;;
TEC177;Technical;Supporting Frameworks;I can access and share health and fitness data while maintaining the user’s privacy and control with HealthKit;;;;-;;
TEC178;Technical;Supporting Frameworks;I can communicate with,  configure,  and control home automation accessories with HomeKit;;;;Exemplary;;
TEC179;Technical;Supporting Frameworks;I can access essential data types,  collections and formatters with Foundation;;;;-;;
TEC180;Technical;Supporting Frameworks;I can preprocess photos using the Vision framework and classify them with a Core ML model with Vision;;;;-;;
TEC181;Technical;Supporting Frameworks;I can show relevant,  glanceable content from my app on the iOS Home screen or macOS Notification Center with WidgetKit;;;;-;;
TEC182;Technical;Supporting Frameworks;I can support peer-to-peer connectivity and the discovery of nearby devices with MultipeerConnectivity;Progressing;;Proficient;Exemplary;;
